topic slug	topic title	topic type	wikipedia link	link audited	approval status	review note	comments
24-class-sloops	24 Class Sloops	ship class	https://en.wikipedia.org/wiki/24-class_sloop	yes	approved	Phase 2: Article identifies the Royal Navy 24-class minesweeping sloops derived from the Flower design, matching the sloop and interwar survey contexts.	Phase 2 independent review by audit_batch3; article revision 1347796901. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #24-class-sloops.
25-pounder-guns	25-Pounder Guns	specific weapon system	https://en.wikipedia.org/wiki/Ordnance_QF_25-pounder	yes	approved	Phase 2: The article identifies the British QF 25-pounder gun-howitzer, matching the registry aliases and authored landing-force artillery context; this is a named weapon system.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-04-30_T16-59-20_a-question-of-getting-there-landing-craft-and-amphibious-warfare-part-1_jZz24qJM3ks.json #why-seventeen-pounder-landing-craft. Additional context references: 1. Phase 2 independent review by audit_batch6; article revision 1339885598. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #25-pounder-guns.
3-7-inch-howitzer	3.7-inch Howitzer	specific weapon system	https://en.wikipedia.org/wiki/QF_3.7-inch_mountain_howitzer	yes	approved	Phase 2: Article identifies the British QF 3.7-inch howitzer; the authored body specifies that howitzer in the Dragonfly-class battery.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-02-04_T19-00-03_gunboats-of-the-1920s-1930s-and-wwii-including-dragonfly-class_4xFIWwPAJN8.json #dragonfly-class-design-and-far-east-role. Phase 2 independent review by audit_batch0; article revision 1300864162. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #3-7-inch-howitzer.
3-inch-23-guns	3 Inch 23 Guns	specific weapon system	https://en.wikipedia.org/wiki/3-inch/23-caliber_gun	yes	approved	Phase 2: The article identifies the US destroyer 3-inch/23 anti-aircraft gun, matching the Caldwell armament context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2026-01-23_T21-30-06_the-usn-s-wwi-destroyer-designs-making-four-stackers-global_Sd6ZL88K-EY.json #caldwell-flush-deck-experimental-template. Phase 2 independent review by audit_batch1; article revision 1335451745. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #3-inch-23-guns.
3m22-zircon	3M22 Zircon	specific weapon system	https://en.wikipedia.org/wiki/3M22_Zircon	yes	approved	Phase 2: The article identifies Russia's 3M22 Zircon naval strike missile and frigate/submarine launch platforms, matching the exact registry designation and Gorshkov context.	Phase 2 independent review by audit_batch2; article revision 1373199868. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #3m22-zircon.
4-5-inch-mark-8-gun	4.5-inch Mark 8 Gun	specific weapon system	https://en.wikipedia.org/wiki/4.5-inch_Mark_8_naval_gun	yes	approved	Phase 2: Article identifies the British 4.5-inch Mark 8 naval gun fitted to frigates and destroyers, matching the registry and comparison context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-12-19_T19-05-07_patreon-90-how-were-warship-autoloader-turrets-prototyped-a-development-history__-C8n5iaAUI.json #mark-71-versus-mark-8-range-and-growth. Phase 2 independent review by audit_batch3; article revision 1374618535. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #4-5-inch-mark-8-gun.
4-inch-50-guns	4 Inch 50 Guns	specific weapon system	https://en.wikipedia.org/wiki/4-inch/50-caliber_gun	yes	approved	Phase 2: Article identifies the US 4-inch/50 destroyer gun, matching the Caldwell flush-deck destroyer context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2026-01-23_T21-30-06_the-usn-s-wwi-destroyer-designs-making-four-stackers-global_Sd6ZL88K-EY.json #caldwell-flush-deck-experimental-template. Phase 2 independent review by audit_batch4; article revision 1358593529. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #4-inch-50-guns.
40-mm-3p-ammunition	40 mm 3P Ammunition	specific weapon system		no	pending	No suitable article found. Authored context identifies Bofors 40 mm 3P programmable ammunition. Exact-name and 3P-ammunition searches found parent-gun and generic airburst pages, without a dedicated English ammunition article.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-07-03_T18-46-01_how-has-ukraine-confirmed-dispelled-or-updated-the-lessons-of-the-falklands-war-1982_PFt89Qk3Ibo.json #precision-versus-volume-in-close-defense. Supporting or alternative sources: https://en.wikipedia.org/wiki/Bofors_40_Mk4; https://en.wikipedia.org/wiki/Airburst_round.
6-inch-mark-26-twin-mounting	6-inch Mark 26 Twin Mounting	specific weapon system	https://en.wikipedia.org/wiki/QF_6-inch_Mark_N5_gun	yes	approved	Phase 2: Gun article substantively describes redesign for the Mark 26 twin dual-purpose automatic mounting, matching the exact Tiger mounting topic rather than merely mentioning its name.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-12-19_T19-05-07_patreon-90-how-were-warship-autoloader-turrets-prototyped-a-development-history__-C8n5iaAUI.json#tiger-class-mark-26-six-inch-mounting. Phase 2 independent review by audit_batch5; article revision 1359492085. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #6-inch-mark-26-twin-mounting.
8-inch-advanced-gun-system	8-inch Advanced Gun System	specific weapon system		no	pending	Identity hold after searching 8-inch AGS, Advanced Gun System and 8-inch Mark 71. Authored context describes an 8-inch cruiser-gun proposal and Spruance/Ticonderoga alternatives but does not identify Mark 71. The extant Mark 71 MCLWG article is a plausible research lead, not a resolved identity; the 155 mm AGS is a different system.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2024-11-10_T19-37-01_bruships-170-once-more-unto-the-kalax-dear-listners-once-more-unto-the-kalax_91zVN8mvdM0.json #eight-inch-ags-cruiser-design. Supporting or alternative sources: https://en.wikipedia.org/wiki/8-inch/55-caliber_Mark_71_gun; https://en.wikipedia.org/wiki/Advanced_Gun_System.
9-2-inch-mark-x-gun	9.2-inch Mark X Gun	specific weapon system	https://en.wikipedia.org/wiki/BL_9.2-inch_Mk_IX_%E2%80%93_X_naval_gun	yes	approved	Phase 2: The combined article explicitly covers the British 9.2-inch Mk X naval and coastal gun, matching the exact Mark X topic and authored heavy-barrel transport context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-03-03_T23-00-12_naval-fire-support-of-the-wwi-western-front-long-patrol-part-3-lord-clive-class-m6-9_J-jFuziSt3E.json#general-craufurd-gun-transport-and-fire-support. Phase 2 independent review by audit_batch6; article revision 1344593095. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #9-2-inch-mark-x-gun.
9-2-inch-mark-xi-gun	9.2-inch Mark XI Gun	specific weapon system	https://en.wikipedia.org/wiki/BL_9.2-inch_Mk_XI_naval_gun	yes	approved	Phase 2: Article identifies the British 50-calibre 9.2-inch Mark XI naval gun, matching the exact mark and comparative gun context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2024-11-09_T19-30-21_frigating-tiger-cubs-wwi-if-the-royal-navy-builds-some-9-2in-armed-dreadnought-cruisers_8szd4KWu1ZQ.json#choosing-the-mark-xii-nine-point-two-inch-gun. Phase 2 independent review by audit_batch0; article revision 866006762. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #9-2-inch-mark-xi-gun.
9-2-inch-mark-xii-gun	9.2-inch/51-calibre Mark XII Gun	specific weapon system		no	pending	No suitable article found. Named 9.2-inch/51 Mark XII comparison checked; exact and alternate English Wikipedia searches returned other Marks without an exact article. No suitable exact article identified.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2024-11-09_T19-30-21_frigating-tiger-cubs-wwi-if-the-royal-navy-builds-some-9-2in-armed-dreadnought-cruisers_8szd4KWu1ZQ.json#choosing-the-mark-xii-nine-point-two-inch-gun. Supporting or alternative sources: https://en.wikipedia.org/wiki/BL_9.2-inch_Mk_IX_%E2%80%93_X_naval_gun.
a-140-battleship-design	A 140 Battleship Design	ship class		no	pending	No suitable article found: authored context identifies the A-140 preliminary Yamato design family. Exact-name and alternate-name searches found this family within the Yamato-class design section, but no article dedicated to the preliminary designs. The completed Yamato class would broaden the referent.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-11-05_T19-26-02_bruships-128-invasions-and-amphibious-warfare_CrS-QSNjtig.json #a140-designs-beyond-japanese-infrastructure. Supporting or alternative sources: https://en.wikipedia.org/wiki/Yamato-class_battleship.
a-140-j2	A 140 J2	ship class		no	pending	No suitable article found: authored context explicitly identifies the real A-140 J2 preliminary Yamato design, distinct from the game's Izumo. Searches for A-140 J2 and A-140-J2 found no dedicated English article; the broader Yamato-class article mentions A-140-J2 within its design history.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2026-04-18_T19-03-33_special-catch-up-ramblings-on-behalf-of-thefleetofoceans_tSk7OTB55to.json #catch-up-ramblings-izumo-a140-j2-design. Supporting or alternative sources: https://en.wikipedia.org/wiki/Yamato-class_battleship.
a-150	Design A-150	ship class	https://en.wikipedia.org/wiki/Design_A-150_battleship	yes	approved	Phase 2: Article identifies Japan's planned six-20.1-inch-gun A-150 battleships, matching the fleet and gunnery contexts.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-08-16_T18-00-27_a150-and-bb64-after-yamato-key-ship-series-4-ships-7_ZOItXsGSRQs.json #a150-bb64-eight-eight-fleet-revival. Additional context references: 1. Phase 2 independent review by audit_batch4; article revision 1367898467. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #a-150.
a-a-griffith	A. A. Griffith	person	https://en.wikipedia.org/wiki/Alan_Arnold_Griffith	yes	approved	Phase 2: The engineer's biography identifies early theoretical jet-engine and axial-turbine work, matching the authored Griffith and Whittle discussion.	Phase 2 independent review by audit_batch1; article revision 1372361999. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #a-a-griffith.
a-class-destroyers	A Class Destroyers	ship class	https://en.wikipedia.org/wiki/A-_and_B-class_destroyer	yes	approved	Phase 2: Combined A/B-class article describes the late-1920s Royal Navy destroyers and explicitly treats Codrington's enlarged A-class leader design, matching the authored subset.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-07-30_T15-00-21_p1-introduction-to-pre-tribal-class-destroyers-of-the-rn-special-guest-fluffy-research-assistant_nGgvuNSt3cw.json#hms-codrington-a-class-flotilla-leader. Additional context references: 1. Phase 2 independent review by audit_batch5; article revision 1345467640. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #a-class-destroyers.
a-class-submarines	A Class Submarines	ship class		no	pending	Full authored context combines British wartime Amphion/Acheron A-class boats and Norway's pre-World War I A class. Competing articles are Amphion-class submarine and Norwegian A-class submarine. Single class identity unresolved.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-12-30_T12-00-32_for-random-books-18-freidman-s-royal-navy_slHVB8HOjtI.json #a-class-submarine-wartime-design-compromises. Additional context references: 5. Supporting or alternative sources: https://en.wikipedia.org/wiki/Amphion-class_submarine; https://en.wikipedia.org/wiki/Norwegian_A-class_submarine.
a-darter-missile	A-Darter Missile	specific weapon system	https://en.wikipedia.org/wiki/A-Darter	yes	approved	Phase 2: The article identifies the joint South African and Brazilian short-range infrared air-to-air missile, matching the registry summary exactly.	Phase 2 independent review by audit_batch1; article revision 1373193489. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #a-darter-missile.
a-v-alexander	A. V. Alexander	person	https://en.wikipedia.org/wiki/A._V._Alexander,_1st_Earl_Alexander_of_Hillsborough	yes	approved	Phase 2: The biography identifies the Labour politician who repeatedly served as First Lord of the Admiralty, matching the cruiser-programme and wartime Admiralty contexts.	Phase 2 independent review by audit_batch2; article revision 1347317040. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #a-v-alexander.
aam-4-missile	AAM-4 Missile	specific weapon system	https://en.wikipedia.org/wiki/AAM-4	yes	approved	Phase 2: The article identifies Mitsubishi's Japanese Type 99 active-radar air-to-air missile, matching registry role and both aliases.	Phase 2 independent review by audit_batch2; article revision 1371746628. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #aam-4-missile.
aam-5-missile	AAM-5 Missile	specific weapon system	https://en.wikipedia.org/wiki/AAM-5_%28Japanese_missile%29	yes	approved	Phase 2: Article identifies Japan's Mitsubishi AAM-5 Type 04 short-range air-to-air missile, matching the registry's national identity and alias.	Phase 2 independent review by audit_batch3; article revision 1347005886. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #aam-5-missile.
aaron-s-merrill	Aaron S. Merrill	person	https://en.wikipedia.org/wiki/Aaron_S._Merrill	yes	approved	Phase 2: Article identifies the American admiral Tip Merrill and his Solomon Islands radar fire control command, matching the Task Force 39 contexts and aliases.	Phase 2 independent review by audit_batch3; article revision 1369576512. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #aaron-s-merrill.
abdiel-class-minelayers	Abdiel Class Minelayers	ship class	https://en.wikipedia.org/wiki/Abdiel-class_minelayer	yes	approved	Phase 2: The article identifies the Royal Navy's six fast Second World War minelayers, matching the authored high-speed mining-cruiser role.	Phase 2 independent review by audit_batch6; article revision 1369705322. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #abdiel-class-minelayers.
abdulaziz	Abdulaziz	person	https://en.wikipedia.org/wiki/Abdulaziz	yes	approved	Phase 2: Article identifies the Ottoman sultan ruling 1861-1876, matching Osmaniye's patron and prewar diplomatic context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-04-07_T18-00-01_osmaniye-key-ship-series-1-ship-5_2MNyk_eUyZM.json #abdulaziz-and-the-ottoman-fleet-program. Additional context references: 1. Phase 2 independent review by audit_batch4; article revision 1362757221. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #abdulaziz.
abel-hubac	Abel Hubac	person		no	pending	No suitable article found. French-born Argentine naval officer commanding América in 1811, also Abel Ángel Hubac. Searches of Abel Hubac and Ángel Hubac found the matching Spanish biography, without a dedicated English biography.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-03-17_T19-00-05_battle-of-san-nicolas-1811-revolutionary-battles-part-2-2_8bdKCHK2Fr8.json #improvised-revolutionary-fleet. Supporting or alternative sources: https://es.wikipedia.org/wiki/%C3%81ngel_Hubac.
abercrombie-class-monitors	Abercrombie Class Monitors	ship class	https://en.wikipedia.org/wiki/Abercrombie-class_monitor	yes	approved	Phase 2: Article identifies the Royal Navy's First World War Abercrombie monitors, matching the coastal-bombardment design context.	Phase 2 independent review by audit_batch0; article revision 1327254731. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #abercrombie-class-monitors.
abraham-duquesne	Abraham Duquesne	person	https://en.wikipedia.org/wiki/Abraham_Duquesne	yes	approved	Phase 2: Article identifies the Huguenot naval commander who served France and Sweden after merchant service, matching the authored career profile.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-01-07_T18-33-12_battle-of-stromboli-8th-of-january-1676-that-s-345yrs-ago-tomorrow_-TE0RggoC0s.json #duquesne-professional-huguenot-admiral. Additional context references: 1. Phase 2 independent review by audit_batch5; article revision 1362681384. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #abraham-duquesne.
abraham-lincoln	Abraham Lincoln	person	https://en.wikipedia.org/wiki/Abraham_Lincoln	yes	approved	Phase 2: The biography identifies the United States president during the Civil War, matching the authored Lincoln, Sherman, and end-of-war context.	Phase 2 independent review by audit_batch6; article revision 1374759957. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #abraham-lincoln.
absalon-class-support-ships	Absalon Class Support Ships	ship class	https://en.wikipedia.org/wiki/Absalon-class_frigate	yes	approved	Phase 2: The Danish frigate article describes the same hybrid transport and support ships as the registry summary and Absalon role discussion.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-05-28_T17-00-45_top-10-ships-not-tribal-battle-daring-or-town-classes_8eyJqkLCzHE.json#absalon-class-fit-for-royal-navy. Additional context references: 1. Phase 2 independent review by audit_batch1; article revision 1371746904. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #absalon-class-support-ships.
abukuma-class-destroyer-escorts	Abukuma Class Destroyer Escorts	ship class	https://en.wikipedia.org/wiki/Abukuma-class_destroyer_escort	yes	approved	Phase 2: The article identifies the JMSDF Abukuma destroyer-escort class, matching the authored Japanese escorts and transfer discussion.	Phase 2 independent review by audit_batch2; article revision 1364991991. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #abukuma-class-destroyer-escorts.
acacia-class-sloops	Acacia Class Sloops	ship class	https://en.wikipedia.org/wiki/Acacia-class_sloop	yes	approved	Phase 2: Article identifies the 1915 Royal Navy Acacia group of Flower-class minesweeping sloops, matching the Foxglove class contexts.	Phase 2 independent review by audit_batch3; article revision 1327124950. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #acacia-class-sloops.
acasta-class-destroyers	Acasta Class Destroyers	ship class	https://en.wikipedia.org/wiki/Acasta-class_destroyer	yes	approved	Phase 2: Article identifies the twenty 1911-1912 Acasta destroyers redesignated K class, matching the class-size and machinery contexts.	Phase 2 independent review by audit_batch4; article revision 1327374639. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #acasta-class-destroyers.
achelous-class-landing-craft-repair-ships	Achelous Class Landing Craft Repair Ships	ship class	https://en.wikipedia.org/wiki/Achelous-class_repair_ship	yes	approved	Phase 2: Article identifies the US wartime ARL class created to repair landing craft, matching the authored mobile-repair requirement.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-05-12_T12-00-11_a-question-of-getting-them-there-landing-ships-and-amphibious-warfare-part-2-iv_7By-NZVXIh0.json #landing-ship-engineering-forward-repair. Phase 2 independent review by audit_batch5; article revision 1365359669. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #achelous-class-landing-craft-repair-ships.
acheron-class-destroyers	Acheron Class Destroyers	ship class	https://en.wikipedia.org/wiki/Acheron-class_destroyer	yes	approved	Phase 2: The article identifies the twenty-three Royal Navy destroyers built under the 1910-1911 programme, matching the authored Acheron and Yarrow-specials class context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2026-08-18_T18-30-06_building-for-research-and-development-the-royal-navy-s-pre-wwi-destroyer-programs_j64RDimTmXI.json#acheron-class-and-yarrow-specials. Additional context references: 1. Phase 2 independent review by audit_batch6; article revision 1338985046. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #acheron-class-destroyers.
achille	Achille	individual ship	https://en.wikipedia.org/wiki/French_ship_Annibal_(1778)	yes	approved	Phase 2: Article history explicitly records Annibal renamed Achille in 1786 and captured at the Glorious First of June, matching the authored battle context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-06-03_T18-00-13_glorious-first-of-june-the-jutland-of-the-age-of-sail_iUxfTrJLCXw.json #valiant-orion-and-queen-exploit-local-openings. Phase 2 independent review by audit_batch0; article revision 1326218757. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #achille.
acorn-class-destroyers	Acorn Class Destroyers	ship class	https://en.wikipedia.org/wiki/Acorn-class_destroyer	yes	approved	Phase 2: Article identifies the 1909-1910 programme destroyers later designated H class, matching the prewar fleet-force context.	Phase 2 independent review by audit_batch0; article revision 1373950740. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #acorn-class-destroyers.
action-class-gunboats	Action Class Gunboats	ship class	https://en.wikipedia.org/wiki/American_Flower-class_corvette	yes	approved	Phase 2: The American Flower article substantively distinguishes the Canadian-built Action group, its gunboat classification, construction programme and armament, matching both authored uses.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-08-24_T18-40-05_bruships-208-what-if-naval-history-questions-answered-live_lEwr-8Q9lPs.json #american-flower-class-corvettes. Additional context references: 1. Phase 2 independent review by audit_batch1; article revision 1327322953. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #action-class-gunboats.
active-class-patrol-boats	Active Class Patrol Boats	ship class	https://en.wikipedia.org/wiki/Active-class_patrol_boat	yes	approved	Phase 2: The article identifies the interwar US Coast Guard Active patrol-boat class, matching the authored class of the earlier Harriet Lane cutter.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2022-02-28_T18-36-28_cutting-through-some-cutters-of-the-us-coast-guard-long-patrol_MXOpa6TBlL0.json#harriet-lane-name-and-endurance. Phase 2 independent review by audit_batch2; article revision 1338244908. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #active-class-patrol-boats.
